number,number_suffix,directional,pre_modifier,pre_type,separator,street_name,street_type,subaddress_type,subaddress_id,floor,building,zip,postal_community,state,status,longitude,latitude,x,y
820,,NORTHEAST,,,,8TH,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728071.8378,5227839.287299998,-13728071.8378,5227839.287299998
753,,NORTHEAST,,,,7TH,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728155.572,5227802.714400001,-13728155.572,5227802.714400001
1580,,NORTHEAST,,,,7TH,STREET,SUITE,B,,,97526,GRANTS PASS,OR,Current,-13728066.4001,5229524.422799997,-13728066.4001,5229524.422799997
321,,NORTHWEST,,,,A,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728817.3367,5227799.201499999,-13728817.3367,5227799.201499999
602,,NORTHWEST,,,,3RD,STREET,UNIT,A,,,97526,GRANTS PASS,OR,Other,-13728892.805,5227786.126900002,-13728892.805,5227786.126900002
320,,NORTHWEST,,,,B,STREET,,,,,97526,GRANTS PASS,OR,Current,-13728827.911600001,5227745.716200002,-13728827.911600001,5227745.716200002
313,,NORTHWEST,,,,A,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728771.9949,5227788.7238000035,-13728771.9949,5227788.7238000035
413,,NORTHWEST,,,,A,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728918.2047,5227837.519699998,-13728918.2047,5227837.519699998
612,,NORTHWEST,,,,3RD,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728864.6796,5227822.363700002,-13728864.6796,5227822.363700002
603,,NORTHWEST,,,,2ND,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728978.6382,5227804.919399999,-13728978.6382,5227804.919399999
412,,NORTHWEST,,,,B,STREET,,,,,97526,GRANTS PASS,OR,Other,-13728930.869800001,5227777.243000001,-13728930.869800001,5227777.243000001
